Zipcode,Precinct,Sector
10279,1,Sector C
10280,1,Sector B
10281,1,Sector C
10282,1,Sector C
10285,1,Sector C
10286,1,Sector A
10301,120,Sector B
10302,121,Sector B
10303,121,Sector A
10304,120,Sector D
10305,122,Sector C
10306,122,Sector A
10307,123,Sector B
10308,122,Sector A
10309,123,Sector A
10310,120,Sector A
10312,123,Sector C
10314,121,Sector C
11354,109,Sector C
11355,109,Sector A
11356,109,Sector C
11357,109,Sector D
11358,109,Sector D
11360,109,Sector D
11361,111,Sector D
11364,111,Sector A
11365,111,Sector C
11366,107,Sector A
11367,107,Sector D
11368,110,Sector D
11369,115,Sector A
11370,114,Sector B
11371,115,Sector A
11372,115,Sector C
11373,110,Sector A
11374,112,Sector B
11375,112,Sector A
11377,108,Sector C
11378,104,Sector C
11379,104,Sector D
11385,104,Sector B
11411,105,Sector C
11412,113,Sector D
11413,105,Sector B
11414,106,Sector A
11415,102,Sector C
11416,102,Sector B
11417,106,Sector B
11418,102,Sector A
11419,102,Sector A
11421,102,Sector B
11422,105,Sector A
11423,103,Sector B
11426,105,Sector E
11427,111,Sector A
11428,105,Sector D
11429,105,Sector D
11432,107,Sector C
11433,103,Sector D
11434,113,Sector B
11435,103,Sector A
11436,113,Sector A
10451,44,Sector A
10452,44,Sector B
10453,46,Sector D
10454,40,Sector A
10455,40,Sector C
10456,44,Sector C
10457,48,Sector C
10458,48,Sector A
10459,41,Sector D
10460,42,Sector B
10461,49,Sector A
10462,49,Sector A
10463,50,Sector C
10464,45,Sector C
10465,45,Sector A
10466,47,Sector A
10467,52,Sector D
10468,52,Sector C
10469,49,Sector C
10470,47,Sector B
10471,50,Sector C
10472,43,Sector D
10473,43,Sector A
10474,41,Sector A
10475,45,Sector C
10001,10,Sector C
10002,7,Sector B
10003,9,Sector D
10004,1,Sector B
10005,1,Sector A
10006,1,Sector C
10007,1,Sector C
10009,9,Sector B
10010,13,Sector D
10011,10,Sector A
10012,1,Sector D
10013,1,Sector C
10014,6,Sector D
10016,17,Sector A
10018,10,Sector C
10019,18,Sector B
10020,18,Sector B
10021,19,Sector B
10022,17,Sector C
10023,20,Sector A
10024,20,Sector C
10025,24,Sector C
10026,28,Sector B
10027,28,Sector D
10028,19,Sector C
10029,23,Sector B
10030,32,Sector B
10031,30,Sector B
10032,33,Sector B
10033,34,Sector B
10034,34,Sector D
10035,25,Sector D
10036,18,Sector D
10037,25,Sector C
10038,1,Sector A
10039,32,Sector D
10040,34,Sector C
10044,114,Sector D
10065,19,Sector A
10069,20,Sector A
10075,19,Sector C
11101,108,Sector A
11102,114,Sector C
11103,114,Sector A
10080,1,Sector C
11105,114,Sector B
11106,114,Sector D
11104,108,Sector C
11109,108,Sector A
10106,18,Sector E
10112,18,Sector B
10118,14,Sector B
10119,14,Sector C
10128,19,Sector D
11691,101,Sector A
11692,100,Sector A
11693,100,Sector A
11694,100,Sector C
10155,17,Sector C
10162,19,Sector B
11201,84,Sector A
11203,67,Sector D
11204,62,Sector A
11205,79,Sector D
11206,90,Sector C
11207,75,Sector B
11208,75,Sector C
11209,68,Sector A
11210,63,Sector B
11211,94,Sector B
11212,73,Sector D
11213,77,Sector C
11214,62,Sector C
11215,78,Sector B
11216,79,Sector A
11217,84,Sector D
11218,66,Sector D
11219,66,Sector C
11220,72,Sector D
11221,83,Sector C
11222,94,Sector C
11223,62,Sector D
11224,60,Sector D
11225,71,Sector C
11226,70,Sector D
11228,68,Sector B
11229,61,Sector C
11230,66,Sector A
11231,76,Sector C
11232,72,Sector B
11233,81,Sector D
11234,63,Sector C
11235,61,Sector D
11236,69,Sector C
11237,90,Sector D
11238,77,Sector A
11239,75,Sector E
11249,90,Sector A
