,Zipcode,Precinct
0,10018,"10 Precinct, Sector C"
1,10019,"18 Precinct, Sector B"
2,10020,"18 Precinct, Sector B"
3,10021,"19 Precinct, Sector B"
4,10022,"17 Precinct, Sector C"
5,10023,"20 Precinct, Sector A"
6,10024,"20 Precinct, Sector C"
7,10025,"24 Precinct, Sector C"
8,10026,"28 Precinct, Sector B"
9,10027,"28 Precinct, Sector D"
10,10028,"19 Precinct, Sector C"
11,10029,"23 Precinct, Sector B"
12,10030,"32 Precinct, Sector B"
13,10031,"30 Precinct, Sector B"
14,10032,"33 Precinct, Sector B"
15,10033,"34 Precinct, Sector B"
16,10034,"34 Precinct, Sector D"
17,10035,"25 Precinct, Sector D"
18,10036,"18 Precinct, Sector D"
19,10037,"25 Precinct, Sector C"
20,10038,"1 Precinct, Sector A"
21,10039,"32 Precinct, Sector D"
22,10040,"34 Precinct, Sector C"
23,10044,"114 Precinct, Sector D"
24,10065,"19 Precinct, Sector A"
25,10069,"20 Precinct, Sector A"
26,10075,"19 Precinct, Sector C"
27,11101,"108 Precinct, Sector A"
28,11102,"114 Precinct, Sector C"
29,11103,"114 Precinct, Sector A"
30,10080,"1 Precinct, Sector C"
31,11105,"114 Precinct, Sector B"
32,11106,"114 Precinct, Sector D"
33,11104,"108 Precinct, Sector C"
34,11109,"108 Precinct, Sector A"
35,10106,"18 Precinct, Sector E"
36,10112,"18 Precinct, Sector B"
37,10118,"14 Precinct, Sector B"
38,10119,"14 Precinct, Sector C"
39,10128,"19 Precinct, Sector D"
40,11691,"101 Precinct, Sector A"
41,11692,"100 Precinct, Sector A"
42,11693,"100 Precinct, Sector A"
43,11694,"100 Precinct, Sector C"
44,10155,"17 Precinct, Sector C"
45,10162,"19 Precinct, Sector B"
46,11201,"84 Precinct, Sector A"
